City,Month,AvgTemperature
Beijing,8,183.74
Beijing,8,174.74
Beijing,8,177.62
Beijing,8,170.42
Beijing,8,170.96
Beijing,8,168.26
Beijing,8,144.68
Beijing,8,158
Beijing,8,157.82
Beijing,8,164.48
Beijing,8,163.04
Beijing,9,165.2
Beijing,9,164.66
Beijing,9,166.82
Beijing,9,167.72
Beijing,9,168.62
Beijing,9,164.84
Beijing,9,171.32
Beijing,9,176.18
Beijing,9,171.32
Beijing,9,157.1
Beijing,9,157.28
Beijing,9,165.38
Beijing,9,167.72
Beijing,9,168.44
Beijing,9,158.72
Beijing,9,158.54
Beijing,9,156.74
Beijing,9,161.06
Beijing,9,156.92
Beijing,9,155.66
Beijing,9,161.78
Beijing,9,155.48
Beijing,9,156.74
Beijing,9,168.08
Beijing,9,164.12
Beijing,9,141.62
Beijing,9,138.38
Beijing,9,141.62
Beijing,9,142.88
Beijing,9,151.7
Beijing,10,159.44
Beijing,10,131.18
Beijing,10,132.62
Beijing,10,137.12
Beijing,10,135.86
Beijing,10,141.44
Beijing,10,139.82
Beijing,10,140.18
Beijing,10,127.4
Beijing,10,120.38
Beijing,10,124.88
Beijing,10,120.74
Beijing,10,129.2
Beijing,10,125.06
Beijing,10,127.4
Beijing,10,129.02
Beijing,10,135.14
Beijing,10,129.02
Beijing,10,134.6
Beijing,10,132.08
Beijing,10,136.04
Beijing,10,121.64
Beijing,10,124.52
Beijing,10,126.5
Beijing,10,127.76
Beijing,10,127.4
Beijing,10,130.82
Beijing,10,119.3
Beijing,10,119.12
Beijing,10,113.54
Beijing,10,115.52
Beijing,11,123.26
Beijing,11,124.7
Beijing,11,102.56
Beijing,11,107.06
Beijing,11,109.04
Beijing,11,114.98
Beijing,11,121.82
Beijing,11,113.36
Beijing,11,120.74
Beijing,11,107.06
Beijing,11,96.62
Beijing,11,100.76
Beijing,11,109.4
Beijing,11,91.94
Beijing,11,88.88
Beijing,11,93.02
Beijing,11,93.2
Beijing,11,86
Beijing,11,82.04
Beijing,11,92.66
Beijing,11,103.46
Beijing,11,100.04
Beijing,11,96.26
Beijing,11,95.9
Beijing,11,98.06
